Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x0ebcf2296fa5e6450353b1ec5bc25b92044d1a2892d2932188bf991801e4130e","Success","Transfer","47657914","2025-03-21 11:10:27","0x0d33cf20b0720FC92C74ec06647DbdFbf72EBE07","","0xB0999731f7c2581844658A9d2ced1be0077b7397","","0.01 BNB","$6.34","0.000021"
"0x45ec19e55246928829c1ee63134b25263e1b6f3785aa86f943713c5eb27b1a68","Success","Approve","47657913","2025-03-21 11:10:24","0x0d33cf20b0720FC92C74ec06647DbdFbf72EBE07","","0xaa98f8e9e515aA59a0F07984EEA6a491bdFaf97A","","0 BNB","$0.00","0.00004653"
"0xde3740979e1a2d92f298751db99a592a6d80db7f6f71a447f5e96c3a55529710","Success","Execute","47657912","2025-03-21 11:10:21","0x0d33cf20b0720FC92C74ec06647DbdFbf72EBE07","","0x013bb8a204499523ddF717e0aBAA14E6dC849060","","0.1 BNB","$63.39","0.00016647"
"0xfcf84474854235cc5d99f3f6dad8b5bec3193610aa182d646b6a9f357bf8aeb6","Success","Execute","47657885","2025-03-21 11:09:00","0x0d33cf20b0720FC92C74ec06647DbdFbf72EBE07","","0x013bb8a204499523ddF717e0aBAA14E6dC849060","","0 BNB","$0.00","0.0002032"
"0x23d6fd7e1d12a14e0edcb81e51652a11ddbf2b3e2a74c795fcc047fa7e83bc22","Success","Execute","47657873","2025-03-21 11:08:24","0x0d33cf20b0720FC92C74ec06647DbdFbf72EBE07","","0x013bb8a204499523ddF717e0aBAA14E6dC849060","","0.1 BNB","$63.39","0.0001537"
"0x94553d0474a84beba95ef07edec1fcd0b1721df5bf8beca3f0dc694fa361b7a8","Success","Execute","47657772","2025-03-21 11:03:21","0x0d33cf20b0720FC92C74ec06647DbdFbf72EBE07","","0x013bb8a204499523ddF717e0aBAA14E6dC849060","","0 BNB","$0.00","0.00020208"
"0x9e4c0692e7b7538c2fc95e3fd0877ec24c7c36be252c9d692c18852003332984","Success","Approve","47657762","2025-03-21 11:02:51","0x0d33cf20b0720FC92C74ec06647DbdFbf72EBE07","","0xCd87213F4AB7D39b1422DcD195e3dd52C9FB98a6","","0 BNB","$0.00","0.00004653"
"0x541e4ac5aefabfb5a312a30cffb687bd27ac6b0827415f16ab4ae3f293ef053b","Success","Execute","47657761","2025-03-21 11:02:48","0x0d33cf20b0720FC92C74ec06647DbdFbf72EBE07","","0x013bb8a204499523ddF717e0aBAA14E6dC849060","","0.1 BNB","$63.39","0.00016739"
"0x29543e54f72ca8720ad833502ada4dde64f42984bf16274d15ea1cc6748141e1","Success","0x0da74935","47657614","2025-03-21 10:55:27","0x0d33cf20b0720FC92C74ec06647DbdFbf72EBE07","","0x5c952063c7fc8610FFDB798152D69F0B9550762b","","0 BNB","$0.00","0.0001494"
"0x58f46474295bd3fa262f9965b6f0d0f95dcc71cd104286398300a40218a5e90b","Success","Approve","47657516","2025-03-21 10:50:33","0x0d33cf20b0720FC92C74ec06647DbdFbf72EBE07","","0xBf80A6Ac9FF6c4A7220D278F1a46Be54bB6285cb","","0 BNB","$0.00","0.00004653"
"0x6f60bb306de69032242bf465ef22571caafbdfaa814371b1a4201aad44fb2d67","Success","Execute","47657515","2025-03-21 10:50:30","0x0d33cf20b0720FC92C74ec06647DbdFbf72EBE07","","0x013bb8a204499523ddF717e0aBAA14E6dC849060","","0.1 BNB","$63.39","0.00016742"
"0xf5940ba999ac7b6ebad95bfbc3984c6e11e780f0f47a0393ac51441ba6ddb892","Success","Approve","47657477","2025-03-21 10:48:36","0x0d33cf20b0720FC92C74ec06647DbdFbf72EBE07","","0xE2047cefd04d1C84383eF8525260b65559c87c2d","","0 BNB","$0.00","0.00004659"
