Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0xd01ff17330ce3afc415b337fc0a700ae80f5de9ec69198212de282603054a556","Success","Transfer","47658204","2025-03-21 11:24:57","0x3c783c21a0383057D128bae431894a5C19F9Cf06","Binance: Hot Wallet 8","0xb4A19B5D0d1e3B095f53a25d3d2aAD9ece5de918","","0.11476807 BNB","$72.79","0.000042"
"0x86c91455a1f4845226b0863abbf79051be09562221dcc1d6624901df980c4c19","Success","Transfer","47658199","2025-03-21 11:24:42","0x3c783c21a0383057D128bae431894a5C19F9Cf06","Binance: Hot Wallet 8","0xd3F5001A70406c4a1bebDe410E84b135988aeADA","","3.12985 BNB","$1,985.06","0.000042"
"0x8b6596cea4e9e0bb4d7e78f53bc299835f630dc73008199eca644eec49d9eb26","Success","Transfer","47658189","2025-03-21 11:24:12","0x3c783c21a0383057D128bae431894a5C19F9Cf06","Binance: Hot Wallet 8","0x27E6d7fe021d5E083dB42b49fb97A356Aa4fb6D0","","0.00259654 BNB","$1.65","0.000042"
"0x7ee0598642bec14432f1265c59bcde6647ee955b90c8ac46a099664aa59993d4","Success","Transfer","47658189","2025-03-21 11:24:12","0x3c783c21a0383057D128bae431894a5C19F9Cf06","Binance: Hot Wallet 8","0x03e2D390DAab1880B6E0ee7C89Ced32A883992Ff","","0.01 BNB","$6.34","0.000042"
"0x8d4250650e2a102bc246e365d47ba3bb0be4031d3784c6271ef8d18b553fba3c","Success","Transfer","47658183","2025-03-21 11:23:54","0x3c783c21a0383057D128bae431894a5C19F9Cf06","Binance: Hot Wallet 8","0xe7f6D48c012Ff5573c9a2b697cE563422c883a2c","","0.15678538 BNB","$99.44","0.000042"
"0x5ccbae4a318ead5bd674f22f0eb5ee7aaf878c10a723a01286d96fb33a20c7d0","Success","Transfer","47658183","2025-03-21 11:23:54","0x3c783c21a0383057D128bae431894a5C19F9Cf06","Binance: Hot Wallet 8","0x3880C3515a88301211603FA5815E35B3d5a2276c","","0.06679975 BNB","$42.37","0.000042"
"0x9cbe23d09e8590b6cab079484293a023fd2b169da0ad213a9913e746ac5d9366","Success","Transfer","47658172","2025-03-21 11:23:21","0x3c783c21a0383057D128bae431894a5C19F9Cf06","Binance: Hot Wallet 8","0xF883789278872F1b8Dcfae14f951c7A281bdA0bB","","0.09985 BNB","$63.33","0.000042"
"0xe5a4fd624c6a446635deaa3a6b0e11c9681ab970c4eae188465fff1cf5210557","Success","Transfer","47658166","2025-03-21 11:23:03","0x3c783c21a0383057D128bae431894a5C19F9Cf06","Binance: Hot Wallet 8","0x7b8032C08FC6F7E39083e68Dc7cbE84b98aA6d12","","0.00985 BNB","$6.25","0.000042"
"0x649dc7e2f1b55c7c054a9655923e4fa31dadec8f751257a17529ef56416c7c35","Success","Transfer","47658162","2025-03-21 11:22:51","0x3c783c21a0383057D128bae431894a5C19F9Cf06","Binance: Hot Wallet 8","0x1E2edAfe15314D8c9CE4222064E42171A1d546C4","","0.42541943 BNB","$269.82","0.000042"
"0x17b55c808fb756057d570239ede035a6406812f7f7ece30f2523de527138ee21","Success","Transfer","47658158","2025-03-21 11:22:39","0x3c783c21a0383057D128bae431894a5C19F9Cf06","Binance: Hot Wallet 8","0x8788db8717062999941cf2beB4018d227CAD5Fc2","","0.04488914 BNB","$28.47","0.000042"
