Chain Name,Hash,Status,Action,Token,Value,From,From Info,To,To Info
BNB Chain,0x0x373d2d62586400c6a285080373ceb0dc3a9d0d480572ed1234951cdaf45eadf5,Success,Deposit,bnb,,0x7e1fdf03eb3ac35bf0256694d7fbe6b6d7b3e0c8,Validator : LegendIII,0x0000000000000000000000000000000000001000,BSC: Validator Set
BNB Chain,0x0x247ce719caf362f554554f3ad94d8ac54cc30fe8342803f04ca34ea680f587c7,Success,Deposit,bnb,,0x7e1fdf03eb3ac35bf0256694d7fbe6b6d7b3e0c8,Validator : LegendIII,0x0000000000000000000000000000000000001000,BSC: Validator Set
BNB Chain,0x0x06694f0044a0a4cad5769d80a033b9a54bcdb18ecd693c59f294a78a634ece9c,Success,Deposit,bnb,,0x7e1fdf03eb3ac35bf0256694d7fbe6b6d7b3e0c8,Validator : LegendIII,0x0000000000000000000000000000000000001000,BSC: Validator Set
BNB Chain,0x0xec90350c930dfaeb206e8c026405dabeaf06c81000d3d4c1378057af249a77e7,Success,Deposit,bnb,,0x7e1fdf03eb3ac35bf0256694d7fbe6b6d7b3e0c8,Validator : LegendIII,0x0000000000000000000000000000000000001000,BSC: Validator Set
BNB Chain,0x0xa7e6221f700d1e669b1321e4a35f11d22aef7cc4236a4a37e72983464e8b618a,Success,Deposit,bnb,,0x7e1fdf03eb3ac35bf0256694d7fbe6b6d7b3e0c8,Validator : LegendIII,0x0000000000000000000000000000000000001000,BSC: Validator Set
BNB Chain,0x0xa1f5fcb13ec50bff33f3ee29e9d6cb316045f73e045aa9c2c8728452abdb2c76,Success,Deposit,bnb,,0x7e1fdf03eb3ac35bf0256694d7fbe6b6d7b3e0c8,Validator : LegendIII,0x0000000000000000000000000000000000001000,BSC: Validator Set
BNB Chain,0x0xb3790f27617f767765eb0932f107482793c796a58e9f4f2a213a452704b2fd82,Success,Deposit,bnb,,0x7e1fdf03eb3ac35bf0256694d7fbe6b6d7b3e0c8,Validator : LegendIII,0x0000000000000000000000000000000000001000,BSC: Validator Set
BNB Chain,0x0xcad84138c4b4a644a389443d8989819e8bd3761862ed6ee8c7404bfcbdbc2d94,Success,Deposit,bnb,,0x7e1fdf03eb3ac35bf0256694d7fbe6b6d7b3e0c8,Validator : LegendIII,0x0000000000000000000000000000000000001000,BSC: Validator Set
BNB Chain,0x0x0aa8a62f77526591ddcc1f52b6f87e0756214490d94fcca0893986586632f45a,Success,Deposit,bnb,,0x7e1fdf03eb3ac35bf0256694d7fbe6b6d7b3e0c8,Validator : LegendIII,0x0000000000000000000000000000000000001000,BSC: Validator Set
BNB Chain,0x0x7b5827a9484a7ec631e03e9ebb10594950cb01b068158b3faaa602ffe4cd17b4,Success,Deposit,bnb,,0x7e1fdf03eb3ac35bf0256694d7fbe6b6d7b3e0c8,Validator : LegendIII,0x0000000000000000000000000000000000001000,BSC: Validator Set
