Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD)
"0xb5a7092709d54f0753ce2847af1f031a21e1642a7c8056e6ddf5d669f57ec504","Success","0x01ffd4b2","47608000","2025-03-19 17:34:39","0xFFd4B200d3C77A0B691B5562D804b3bd54294e6e","","0x496a8b716A3A3410B16e71E3c906968CE4488e52","PancakeSwap: TKO 18","136.353766532728925389","$27.40",""
"0xadb7dcffead72beaa9ac8063bff17edf8f351964fdb16670db695c221d82eded","Success","I Love Gambling","47607999","2025-03-19 17:34:36","0x802b65b5d9016621E66003aeD0b16615093f328b","","0xFFd4B200d3C77A0B691B5562D804b3bd54294e6e","","691.53344788070665677","$138.96",""
"0xa5d9156b2506e60e6184c3009a57726e35e5c579bd992a64e5b93024cf7884c5","Success","0x2213bc0b","47607982","2025-03-19 17:33:45","0x4C6F446dD88fD1be8B80D2940806002777dc12a2","0x: Settler V1.10","0xDE5e03bC7014D65aF8F9fe8F11FDb5B5b9116F7b","","22.932","$4.61",""
"0xa5d9156b2506e60e6184c3009a57726e35e5c579bd992a64e5b93024cf7884c5","Success","0x2213bc0b","47607982","2025-03-19 17:33:45","0x4C6F446dD88fD1be8B80D2940806002777dc12a2","0x: Settler V1.10","0xFFd4B200d3C77A0B691B5562D804b3bd54294e6e","","28.028","$5.63",""
"0xa5d9156b2506e60e6184c3009a57726e35e5c579bd992a64e5b93024cf7884c5","Success","0x2213bc0b","47607982","2025-03-19 17:33:45","0x073284066a437A0676D82B87C682694239A953b9","","0x4C6F446dD88fD1be8B80D2940806002777dc12a2","0x: Settler V1.10","50.96","$10.24",""
"0x398baea704fa32249c69601bb77b173004df1f0cac1f7701f68ca78256e8427f","Success","I Love Gambling","47607979","2025-03-19 17:33:36","0x802b65b5d9016621E66003aeD0b16615093f328b","","0xFFd4B200d3C77A0B691B5562D804b3bd54294e6e","","358.593589182514898105","$72.06",""
"0x9829b6b20cc490a3e37287cb8b868017f4c2e8c6851f5be530cc0ef51633aa70","Success","Call","47607775","2025-03-19 17:23:24","0xa7Ca2C8673bcFA5a26d8ceeC2887f2CC2b0Db22A","Mimic: Smart Vault","0x18b78c0034e9C436000e38C3365C288603cD176d","","394.61565882744473321","$79.30",""
"0x9829b6b20cc490a3e37287cb8b868017f4c2e8c6851f5be530cc0ef51633aa70","Success","Call","47607775","2025-03-19 17:23:24","0xa7Ca2C8673bcFA5a26d8ceeC2887f2CC2b0Db22A","Mimic: Smart Vault","0x965dC72531BC322caB5537d432bB14451cAbb30d","","2.781782086396891372","$0.56",""
"0x9829b6b20cc490a3e37287cb8b868017f4c2e8c6851f5be530cc0ef51633aa70","Success","Call","47607775","2025-03-19 17:23:24","0x1111111254EEB25477B68fb85Ed929f73A960582","1inch: Aggregation Router V5","0xa7Ca2C8673bcFA5a26d8ceeC2887f2CC2b0Db22A","Mimic: Smart Vault","397.397440913841624582","$79.86",""
"0x9829b6b20cc490a3e37287cb8b868017f4c2e8c6851f5be530cc0ef51633aa70","Success","Call","47607775","2025-03-19 17:23:24","0xFFd4B200d3C77A0B691B5562D804b3bd54294e6e","","0x1111111254EEB25477B68fb85Ed929f73A960582","1inch: Aggregation Router V5","397.397440913841624582","$79.86",""
"0x5a8cd558c11262b8c1a6c43ac8acabd2fbffaa97a093af9cd5cbb1cb061d7649","Success","0x00000000","47607632","2025-03-19 17:16:15","0xFFd4B200d3C77A0B691B5562D804b3bd54294e6e","","0x496a8b716A3A3410B16e71E3c906968CE4488e52","PancakeSwap: TKO 18","28.811990388278992467","$5.79",""
"0x2bbe5b54ef9d0b8857f577469fd9a61a8f5a6697b41b38bfc311a8b544467ecc","Success","0xe870a7c8","47607632","2025-03-19 17:16:15","0xC13D85797F4b1c9F409D25B92DC09F9D14F07D38","PancakeSwap: TKO-SFP","0x496a8b716A3A3410B16e71E3c906968CE4488e52","PancakeSwap: TKO 18","1.281998378547189022","$0.26",""
