Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
"0x6502d0d40aa3bda880bb0bbf47c761ce3cbb5f2c0aa66ba70f2a0aaa37dc38f4","Success","Transfer","47593258","2025-03-19 05:17:28","0xdabeb55be1ec20f12f1315c9e005e0c1c9b674d7","","0xde4cee8b1416d9eb470743f6bb21a49eb972bb4b","","3.56","$3.56","Binance-Peg BSC-USD(BSC-USD)"
"0x287b0d85ba77028de6c67d0d5e8ad4aca83d42c25da0b38c3f7aa1e42b10b227","Success","Transfer","47593258","2025-03-19 05:17:28","0xd6fda3526af459f14571aad7e1af7620d7c33be8","","0x7ddca48a71ded9cca474f5edbf07ff793c3addb4","","1,528.8","$0.00","BEP-20: RUNS(RUNS)"
"0x7e01acc379b82b8dd22c395c19dfb3c8d05ea4c22d8473f8daf76a0e3dbc6396","Success","Mint","47593258","2025-03-19 05:17:28","0x0000000000000000000000000000000000000000","Null: 0x000...000","0xd5867b1b179fa4af085d703773ea7c9fc8605cf7","","100,000","$0.00","BEP-20: FairMint Fairmoon(Fairmoon)"
"0x4a9c385b7cd5415d4de8653ede9815f345c16d2b952923074bbe4e35d22e07f0","Success","Claim","47593258","2025-03-19 05:17:28","0x3a4a0dcae9b782f95c1d65a961649fd498c52e4c","","0x79c06ac37c5de70910e27d5f824d83d5e2b11334","","17.63848099","$17.64","Binance-Peg BSC-USD(BSC-USD)"
"0x4a9c385b7cd5415d4de8653ede9815f345c16d2b952923074bbe4e35d22e07f0","Success","Claim","47593258","2025-03-19 05:17:28","0x49b0d01b6038c805f9ee7b7ead067c0cb6553748","","0x3a4a0dcae9b782f95c1d65a961649fd498c52e4c","","17.63848099","$17.64","Binance-Peg BSC-USD(BSC-USD)"
"0x168a281935a9f9241aef23a6d7eeccb30352694950e63c31c3b559c438606cfd","Success","Transfer","47593258","2025-03-19 05:17:28","0x212cc23d16ebfe1a7b02e8e538f11474a789efd6","","0x4b539fc94e067967429d6fabca846dc0b1a1df0f","","12.8","$12.80","Binance-Peg BSC-USD(BSC-USD)"
"0x4f27939bc7ef651b97c939a64b0e9e294639c5bfd73d51375534e340f0acd0a9","Success","Transfer","47593258","2025-03-19 05:17:28","0x8c001714fba32de8401f281e9ac383af54901fff","","0xeb8c00b8bb18a7b051cf0af5ca735dfc4faa9354","","40.5","$40.49","Binance-Peg BSC-USD(BSC-USD)"
"0x1681a47b48cf32d0016001b9a995172c2507e177db1b4c9ba8a05080d6234239","Success","Transfer","47593258","2025-03-19 05:17:28","0x9239df3e9996c776d539eb9f01a8ae8e7957b3c3","","0x68c64dfab9ce153c546394e2e78bcaf934bf80e8","","0.00619781","$11.98","Binance-Peg Ethereum Token(ETH)"
"0x10b170a3626eb0cc6fe12944952509fee55966cce508872b1a9b49c093e047e3","Success","Transfer","47593258","2025-03-19 05:17:28","0x6253b633ee605d138d6fb2e0d6e980d3ed04fe3d","","0x434899e84beb43fcfb554fe10bbb7180f1a7badb","","0.02","$0.02","Binance-Peg BSC-USD(BSC-USD)"
"0xb7f63d16d8f883fd097961323342cf89b6be24d1a6d0adc525192d628d3cb222","Success","Transfer","47593258","2025-03-19 05:17:28","0xfe7a1491ec735068c350c7c16193ee9659d95222","","0x214a2acee670e5e20e09b172c8c61b85e1557604","","49","$0.00","BEP-20: Real A Coin(RAC)"
"0xb2e640526ed1e8f5aaedea937e219e99336aaa21c66d5643621b298704a14712","Success","Transfer","47593258","2025-03-19 05:17:28","0x6253b633ee605d138d6fb2e0d6e980d3ed04fe3d","","0x8c89744aba2b5d9a519397dc6b3732ea0ef781ce","","0.02","$0.02","Binance-Peg BSC-USD(BSC-USD)"
"0xa2f7944d84d4ba773b8284c16da1edb2cc35cf473bc84bd84156bb1ab32b64c0","Success","Transfer","47593258","2025-03-19 05:17:28","0x5c76dabe75f21237aafbc927954fc1558739be52","","0xa81d6d3fbb6328905f8aecb7b7ed8a6d7cdcbb5b","","15","$15.00","Binance-Peg BSC-USD(BSC-USD)"
"0xfaeac0e6dd9fc0f3da3b5386933547abc78f7279c7f02b22d7b2e490b43a3ad2","Success","Transfer","47593258","2025-03-19 05:17:28","0x6253b633ee605d138d6fb2e0d6e980d3ed04fe3d","","0x05b25ff85c2a62867ede59d367232d11b7fffdb9","","0.142","$0.14","Binance-Peg BSC-USD(BSC-USD)"
"0x0b489b110a7d43bb103fd113280e108623d2fc445669fc0af3ea6c2ee5f285dd","Success","Handle Ops","47593258","2025-03-19 05:17:28","0xe7ae3757ee9f0b54620ba6b3f48ba3996780175b","","0x43c3fe43daf517390329ceb8029ee871b920ab94","","0.66671334","$0.67","Binance-Peg USD Coin(USDC)"
"0x0b489b110a7d43bb103fd113280e108623d2fc445669fc0af3ea6c2ee5f285dd","Success","Handle Ops","47593258","2025-03-19 05:17:28","0xe7ae3757ee9f0b54620ba6b3f48ba3996780175b","","0xd9c6eea49212462f4a74d373fe70ca13b0fbed3c","","0.33335667","$0.33","Binance-Peg USD Coin(USDC)"
"0x0b489b110a7d43bb103fd113280e108623d2fc445669fc0af3ea6c2ee5f285dd","Success","Handle Ops","47593258","2025-03-19 05:17:28","0xe7ae3757ee9f0b54620ba6b3f48ba3996780175b","","0xbeb44c790dbe563aff6e649d42ebc44cbde92dc0","","0.17046192","$0.17","Binance-Peg USD Coin(USDC)"
"0x0b489b110a7d43bb103fd113280e108623d2fc445669fc0af3ea6c2ee5f285dd","Success","Handle Ops","47593258","2025-03-19 05:17:28","0xe7ae3757ee9f0b54620ba6b3f48ba3996780175b","","0x43c3fe43daf517390329ceb8029ee871b920ab94","","1.62767728","$1.63","Binance-Peg USD Coin(USDC)"
"0x0b489b110a7d43bb103fd113280e108623d2fc445669fc0af3ea6c2ee5f285dd","Success","Handle Ops","47593258","2025-03-19 05:17:28","0xe7ae3757ee9f0b54620ba6b3f48ba3996780175b","","0xd9c6eea49212462f4a74d373fe70ca13b0fbed3c","","0.81383864","$0.81","Binance-Peg USD Coin(USDC)"
"0x0b489b110a7d43bb103fd113280e108623d2fc445669fc0af3ea6c2ee5f285dd","Success","Handle Ops","47593258","2025-03-19 05:17:28","0xe7ae3757ee9f0b54620ba6b3f48ba3996780175b","","0xbeb44c790dbe563aff6e649d42ebc44cbde92dc0","","0.41615636","$0.42","Binance-Peg USD Coin(USDC)"
"0x0b489b110a7d43bb103fd113280e108623d2fc445669fc0af3ea6c2ee5f285dd","Success","Handle Ops","47593258","2025-03-19 05:17:28","0xe7ae3757ee9f0b54620ba6b3f48ba3996780175b","","0x9cea88ee39b6cc09c478942bbf83bfa77d87b5f3","","1,144.33849524","$1,144.17","Binance-Peg USD Coin(USDC)"
"0x1f8d345ccf7570f7788b2f927b5803cc7ab66faceece669763668af6fb93c0b6","Success","Handle Ops","47593258","2025-03-19 05:17:28","0xe0c83e35298506e2e12e65ed5fcd573d45461383","","0x43c3fe43daf517390329ceb8029ee871b920ab94","","0","$0.00","Binance-Peg USD Coin(USDC)"
"0x1f8d345ccf7570f7788b2f927b5803cc7ab66faceece669763668af6fb93c0b6","Success","Handle Ops","47593258","2025-03-19 05:17:28","0xe0c83e35298506e2e12e65ed5fcd573d45461383","","0xd9c6eea49212462f4a74d373fe70ca13b0fbed3c","","0.40704728","$0.41","Binance-Peg USD Coin(USDC)"
"0x1f8d345ccf7570f7788b2f927b5803cc7ab66faceece669763668af6fb93c0b6","Success","Handle Ops","47593258","2025-03-19 05:17:28","0xe0c83e35298506e2e12e65ed5fcd573d45461383","","0xbeb44c790dbe563aff6e649d42ebc44cbde92dc0","","0.54026643","$0.54","Binance-Peg USD Coin(USDC)"
"0x1f8d345ccf7570f7788b2f927b5803cc7ab66faceece669763668af6fb93c0b6","Success","Handle Ops","47593258","2025-03-19 05:17:28","0xd99c7f6c65857ac913a8f880a4cb84032ab2fc5b","","0xe0c83e35298506e2e12e65ed5fcd573d45461383","","40.53353767","$40.53","Binance-Peg USD Coin(USDC)"
"0x1f8d345ccf7570f7788b2f927b5803cc7ab66faceece669763668af6fb93c0b6","Success","Handle Ops","47593258","2025-03-19 05:17:28","0xe0c83e35298506e2e12e65ed5fcd573d45461383","","0xa2e6b0f1e795f9b3e87aa2bdcfcda0f4a41746c8","PancakeSwap V2: TTAI 8","33,734.74703744","$0.00","BEP-20: TTAI(TTAI)"
"0x4e047427724a71c603750fbf7fc7c8b04ad0317c79144ce230632aca20b53b30","Success","0x71905f2e","47593258","2025-03-19 05:17:28","0x5366de40f3076f4453a785a73330cf5569c70c51","","0x3bec07d83c4cde1f3c7eceaf7e0c8fdfb034cc7f","","301,690.05360487","$0.00","BEP-20: FairMint FAIR(FAIR)"
"0x9c5ef195c57567e5e4aefd2bb226919def7a0df9a4fbc011d6969ad4a56000d1","Success","Swap Exact ETH For Tokens","47593258","2025-03-19 05:17:28","0x36d76ce4d742d88ec84bb95e0362d02a9b6af018","PancakeSwap V2: DDDD 96","0x2b86f0732ec19e994d9ea3b72d48398a373b09e1","","6,710,116.4967358","$0.00","BEP-20: DDDD(DDDD)"
"0x3b04fd10fb1f759a3577008d5732a81a37b9263c9dbf462bcb2b8ec252a4d07f","Success","Transfer","47593258","2025-03-19 05:17:28","0x8576a923c643067c686e904f704ff26b799960c8","","0x2c36a10bb3c4bd49dbcbde0c924c5a5ce07f66c3","","2.94","$2.94","Binance-Peg BSC-USD(BSC-USD)"
"0x8954a4ed5e42e19a431b6d1deea4ea0014c2a6664d62ec332b5e1ad0e7f7717d","Success","Mint","47593258","2025-03-19 05:17:28","0x0000000000000000000000000000000000000000","Null: 0x000...000","0xaacec3de0e6a7f29c1b8f65e291d7d86f41e196e","","100,000","$0.00","BEP-20: FairMint Fairmoon(Fairmoon)"
"0xfa72a0a50cea869296eeeb81229dbfff71cb8faa7865f2acedeba8cd0f880ece","Success","Mint","47593258","2025-03-19 05:17:28","0x0000000000000000000000000000000000000000","Null: 0x000...000","0x1cafc839d3c263c7e6743dd40e92636c4e07969e","","100,000","$0.00","BEP-20: FairMint Fairmoon(Fairmoon)"
"0xb7b3e2a25f940710d2701ee7876a664c06b493d752619ed41337c49f9697294f","Success","Mint","47593258","2025-03-19 05:17:28","0x0000000000000000000000000000000000000000","Null: 0x000...000","0x0493767fa95fc1db15c217e571411397ed31ddd6","","100,000","$0.00","BEP-20: FairMint Fairmoon(Fairmoon)"
"0x1b2f5c46bc874b21292f9526ffba1e429bb7fab1557e735bea1dd5a11ed05df8","Success","0x25356bc7","47593258","2025-03-19 05:17:28","0x6aba0315493b7e6989041c91181337b662fb1b90","","0x73d8bd54f7cf5fab43fe4ef40a62d390644946db","","89,278.07295507","$0.00","BEP-20: AICell(AICell)"
"0x1b2f5c46bc874b21292f9526ffba1e429bb7fab1557e735bea1dd5a11ed05df8","Success","0x25356bc7","47593258","2025-03-19 05:17:28","0x111111125421ca6dc452d289314280a0f8842a65","1inch: Aggregation Router V6","0x6aba0315493b7e6989041c91181337b662fb1b90","","89,278.07295507","$0.00","BEP-20: AICell(AICell)"
"0x1b2f5c46bc874b21292f9526ffba1e429bb7fab1557e735bea1dd5a11ed05df8","Success","0x25356bc7","47593258","2025-03-19 05:17:28","0x3b1374b7f6f470951f28d7d9af942f7d6bcae562","","0x111111125421ca6dc452d289314280a0f8842a65","1inch: Aggregation Router V6","48,043.13276116","$0.00","BEP-20: AICell(AICell)"
"0x1b2f5c46bc874b21292f9526ffba1e429bb7fab1557e735bea1dd5a11ed05df8","Success","0x25356bc7","47593258","2025-03-19 05:17:28","0xe5fc6a0f3a2973907180482c142e62088912c8d7","PancakeSwap V2: AICell","0x111111125421ca6dc452d289314280a0f8842a65","1inch: Aggregation Router V6","41,234.94019391","$0.00","BEP-20: AICell(AICell)"
"0x1b2f5c46bc874b21292f9526ffba1e429bb7fab1557e735bea1dd5a11ed05df8","Success","0x25356bc7","47593258","2025-03-19 05:17:28","0xde9e4fe32b049f821c7f3e9802381aa470ffca73","","0x172fcd41e0913e95784454622d1c3724f546f849","","499.66458081","$499.59","Binance-Peg BSC-USD(BSC-USD)"
